Shrek
Alice in Wonderland
Finding Nemo
My Fair Lady
Cinderella
Cars
Spiderman
Peter Pan
Toy Story
Inception
Robin Hood 
Up
Avatar 
The Fox and the Hound
Ratatouille
2001: A Space Odyssey
The Wizard of Oz
Butch Cassidy and the Sundance Kid
Groundhog Day
The Muppet
Christmas
Carol
Catch Me If You Can
Back to the Future
The Mighty Ducks
Willy Wonka and the Chocolate Factory
Anastasia
Remember the Titans
Indiana Jones
Angels in the Outfield
Pocahontas
E.T.
Apollo 13
The Lion King
Dumbo
Babe
Mighty Joe Young
Beauty and the Beast
Bambi
Tarzan 
Aladdin
Batman
The Kid 
The Importance of Being Earnest
Mary Poppins
The Sandlot
Forest Gump
The Princess Bride
101 Dalmatians Big
Star Wars
Bill and Ted's Excellent Adventure
James Bond
The Little Mermaid
A Bug’s Life
Brother Bear
High School Musical
The Parent Trap
The Princess Diaries
Snow White
The Incredibles
Sleeping Beauty
Clueless
Mean Girls
The Devil Wears Prada
Bring It On
Legally Blonde
Inside Out
Harry Potter Series
The Fast and the Furious
Scream
Spider-Man
The Social Network
Anchorman
She's All That
Pretty Woman
The Breakfast Club
10 Things I Hate About You
The Hangover
Independence Day
The Avengers
The Blind Side
Tangled
Jumanji
Inception
The Hunger Games
Marley & Me
Frozen
The Lion King
Titanic
The Matrix
Fight Club
The Lord of the Rings Series
Twilight
The Hangover
The Fault in Our Stars
The Goonies
Spaceballs
The Princess Bride
Home Alone
Edward Scissorhands
Little Women
The Wizard of Oz
Gone With The Wind
Casablanca
Breakfast At Tiffany's
Pyscho
Rebel Without a Cause
The Godfather
Singin' In The Rain
The Sound Of Music
Goodfellas
Spirited Away
Howl's Moving Castle
Ponyo
Princess Mononoke
My Neighbor Totoro
Castle in the Sky
Kiki's Delivery Service
The Notebook
Parasite
A Star Is Born
Pulp Fiction
Wall-E
Terminator
The Dark Knight
Interstellar
Back to the Future
Gladiator
Alien
Braveheart
Pan's Labyrinth
The Wolf of Wall Street
How to Train Your Dragon
The Sixth Sense
Gone Girl
Zootopia
Deadpool
Jurassic Park
Jaws
The Help
Joker
Coco
Parasite
The Shape of Water
Spotlight
Slumdog Millionaire
The Silence of the Lambs
Dances with Wolves
Black Panther
A Quiet Place
Spider-Man: Into The Spider-Verse
Gladiator
Die Hard
Fight Club
Avengers: Endgame
Blade Runner
Mad Max
